trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.5, 'e': 0.7444360409302637}",20,0,-30.99358175855494,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.73566418208687}",25,0,-200.82922074890845,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.7267980607127886}",20,0,4.996906865587234,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.717841223138356}",20,0,-49.444607572934956,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.708797251979179}",20,0,-118.28950729521497,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.6996697647031366}",25,3,-131.9739091587979,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.6904624121834408}",20,12,-2.6525240937122363,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.6811788772383368}",20,14,-32.58515139010586,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.6718228731580236}",30,3,-125.4670842227544,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 2}",1
63,False,"{'a': 0.5, 'e': 0.6623981422193881}",20,14,10.293850896972824,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.6529084541891447}",25,18,2.5887146418009817,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.6433576048159777}",20,4,-90.48732586287149,"{0: 11, 1: 1, 2: 0, 3: 3, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.6337494143122937}",20,12,2.1985058328341145,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.6240877258261864}",20,7,-31.229556484280273,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6143764039042297}",25,20,8.13109714135989,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6046193329457097}",30,24,8.601499296672337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.5948204156489171}",25,0,16.87865331706773,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.5849835714501204}",30,20,9.214793659991157,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.5751127349558429}",25,1,-106.93948880740467,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
